Playlist Name,Country,Followers,Last Updated,Link,Mood,Platform
indiespensables,,"1,174,804",3 months,https://open.spotify.com/playlist/37i9dQZF1DX2xhsrO0GW1M?si=84ad112a775b4416,"Catalog, Indie, Trending",Spotify
Onda Indietrónica,,"64,038",3 months,https://open.spotify.com/playlist/37i9dQZF1DX31cAExLdyNB?si=e4c253f9753f4276,"Chill, Electronica, Indie",Spotify
RELEASED,Each country,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_lupNPLk39p2kJaEe638PpTqngtEY6fyGw&playnext=1&si=brYdR59skHrQ3mf2,Releases,YouTube Music
Novedades Latinas,Mexico,,Each week,https://www.deezer.com/mx/playlist/6556887484,Releases,Deezer
Fresco,Mexico,,Each week,https://music.amazon.com.mx/playlists/B07GRF2FYL,Releases,Amazon Music
100 Más: Electronica,Mexico,,Every other week,https://music.amazon.com.mx/playlists/B084Q4Q2DH,Releases,Amazon Music
Speaking Alternative,Mexico,,Every other week,https://music.amazon.com.mx/playlists/B07SFSD3C3,"Alternative, Releases",Amazon Music
Rocking Alternative,Mexico,,Every other week,https://music.amazon.com.mx/playlists/B09TDD5CQM,"Alternative, Releases, Rock",Amazon Music
do rockee,Brazil,"62,000",Every other week,https://open.spotify.com/playlist/37i9dQZF1DX0PYkdiz2e8k?si=930de31672f74f4e,"Releases, Rock",Spotify
Volume Máximo,Brazil,"707,000",Every other week,https://open.spotify.com/playlist/37i9dQZF1DX4908CEYEdlz?si=35c6a6fe596c4e6e,Rock,Spotify
Rock Forever,Brazil,"1,137,000",Every other week,https://open.spotify.com/playlist/37i9dQZF1DXcmaoFmN75bi?si=039b1254c24c445d,"Mainstream, Rock",Spotify
mamá cool,Mexico,"329,000",Every other week,https://open.spotify.com/playlist/37i9dQZF1DWVuraZzTY0LP?si=10fdfc8d134e493c,"Chill, Indie",Spotify
Indie Stage,Brazil,"411,602",Every other week,https://open.spotify.com/playlist/37i9dQZF1DX1hBl8Jfe9dd,"Indie, Releases",Spotify
Novidades,Brazil,,Each week,https://music.amazon.com.br/playlists/B07XB7S9K6,Releases,Amazon Music
Lancamentos da Semana,Brazil,"667,000",Each week,https://www.deezer.com/mx/playlist/1250202481,Releases,Deezer
el nuevo indie,LATAM,"515,000",3 months,https://open.spotify.com/playlist/37i9dQZF1DWU6aakG7fctq?si=0196a8a8e7414241,Latin Indie,Spotify
friozinho,Brazil,"349,163",Every other week,https://open.spotify.com/playlist/37i9dQZF1DX6e81LupkkgG?si=6471e04ffaef4c58,"Gloomy, Sad",Spotify
Jantar Relax,Brazil,"248,593",Every other week,https://open.spotify.com/playlist/37i9dQZF1DXazFY2XZvG6F?si=125f928f53c04c97,"Chill, Instrumental, Jazzy",Spotify
Las favoritas del editor,LATAM,,Each week,https://www.deezer.com/mx/playlist/65488896,"Indie, Mainstream, Releases, Trending",Deezer
Radar Weekly,Brazil,,Each week,https://www.deezer.com/mx/playlist/1282495565,"Indie, Releases",Deezer
IRIS,Colombia,"13,070",Each week,https://open.spotify.com/playlist/37i9dQZF1DX42OMh36xkYf?si=bc3042794f4142b4,"Indie, Latin Indie, Releases",Spotify
FRESCO COLOMBIA,Colombia,,Each week,https://music.amazon.com/playlists/B0CLGFJKJX?ref=dm_sh_KoFQwz8lwlMrLswld0HsFLxMp,Releases,Amazon Music
NOVEDADES MX,Mexico,,Each week,https://www.claromusica.com/systemPlaylist/45239160,Releases,Claro Música
Llena tus oídos de Indie,Mexico,,Every other week,https://www.claromusica.com/systemPlaylist/52034538/MX,"Indie, Releases",Claro Música
Amor y Desamor,LATAM,,3 months,https://www.claromusica.com/systemPlaylist/63738004/MX,"Mainstream, Releases, Romantic",Claro Música
Kaleidoscope,Mexico,"74,440",Every other week,https://open.spotify.com/playlist/37i9dQZF1DX3PsJxMtn1AP?si=161cacfb02e64138,"Alternative, Indie, dreamy",Spotify
