NAME OF MEDIA,DESCRIPTION & SM,Genre,REACH,Territory,WEBSITE,⛅️,🍎,🎙,🎶,🐥,👍,💃,📸,📹,🤓
"TELAM ",National news agency. Social Media : 969 K Views at Month: 2M,,,ARGENTINA,https://www.telam.com.ar,https://soundcloud.com/user-961456406,,,,https://twitter.com/AgenciaTelam,https://www.facebook.com/AgenciaTELAM,,https://www.instagram.com/agencia_telam/,https://www.youtube.com/user/AudiovisualTelam,
Silencio,"A website which is focused on music, shows, interviews, and other news about music. Social Media: 41K",,,ARGENTINA,https://silencio.com.ar,,,,https://open.spotify.com/user/silenciocomar,https://www.twitter.com/silenciocomar,https://www.facebook.com/silenciocomar,,https://www.instagram.com/silenciocomar,https://www.youtube.com/silenciorocks,
"Billboard Argentina ","National edition of the international magazine, Billboard. Social media: 1M",,,ARGENTINA,https://billboard.com.ar,,,,,https://twitter.com/BillboardArg,https://www.facebook.com/BillboardAR,,https://instagram.com/billboardar,https://www.youtube.com/channel/UCXRotqLwBC4uhajIH65kK3A,
"Generacion B ","A music website,  its focus is on music, shows, videos, and any general information about music. Social Media: 16k",,,ARGENTINA,http://generacionb.com/,,,,,https://twitter.com/GeneracionB,https://www.facebook.com/GeneracionB/,,https://www.instagram.com/generacionb/,,
Radio Colmena,Online independent radio station. Social Media: 26K,,,ARGENTINA,https://www.radiocolmena.com,,,,,https://twitter.com/radiocolmena?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://es-la.facebook.com/RadioColmena/,,https://www.instagram.com/radiocolmena/?hl=es-la,https://www.youtube.com/channel/UC7LUEQye2Wg-2mxNEdGP93g,
Remix Magazine,"Website, that also has a Magazine ""REMIX,"" it is focused on Music, art, fashion, and more. Social media: 581K",,,ARGENTINA,http://www.revistaremix.com/Remix/Inicio.html,,,,,https://twitter.com/revistaremix,https://www.facebook.com/revistaremix,,https://www.instagram.com/revistaremix/,https://www.youtube.com/c/remixagency,
Delta Radio,"Electronic music radio for Argentina and the rest of the world. Social Media: 63 K. Listeners: 300K. ",Electronic,,ARGENTINA,https://fmdelta903.com,,,,,https://www.twitter.com/Delta903fm,https://www.facebook.com/delta903fm,,https://www.instagram.com/delta903fm/?hl=es,https://www.youtube.com/channel/UC4A3LevOk1iOgl6buuXZ6rw,
Revista Gente,"Entertainment and pop culture magazine. Social Media: 939K. ",,,ARGENTINA,https://www.gente.com.ar,,,,,https://twitter.com/genteonline,https://www.facebook.com/GENTEONLINE,,https://www.instagram.com/revistagenteok/,https://youtube.com/channel/UC9MQ769rsUaeEm_CUgw4MYg,
INDIE HOY,"Popular online portal focused on independent music, news, shows, videos and films. Based in Argentina with audiences also in Colombia, Mexico, Chile and Peru. Social Media: 282K Monthly visitors: 1.5M
","Alternative, Indie, Rock",,ARGENTINA,https://indiehoy.com,,,,https://open.spotify.com/user/indiehoy,https://twitter.com/indiehoy/,https://www.facebook.com/indiehoy/,,https://www.instagram.com/indiehoy/,https://www.youtube.com/channel/UClw0F0SxR89lewQW0oSv1TQ,
Pagina 12,Newspaper in Argentina with a great weekend music section. Circulation: 51k Social Media: 1.7M,News,,ARGENTINA,https://www.pagina12.com.ar,,,,,https://twitter.com/pagina12,https://www.facebook.com/Pagina12ok/,,https://www.instagram.com/pagina12/,https://www.youtube.com/channel/UCJNDedOnljCssaiRZqg8-Dg,
Gamba FM,"Radio and multimedia platform with a focus on music, fashion, pop culture, and more. Social Media: 300K.",,,ARGENTINA,https://gamba.fm,,,,,,,,,,
Revista Crisis,An online magazine dealing with culture and politics. Social Media: 24K,,,ARGENTINA,https://revistacrisis.com.ar,,,,,http://twitter.com/CrisisRevista,http://www.facebook.com/pages/Revista-crisis/147943525247726?ref=ts&fref=ts,,,http://www.youtube.com/user/RevistaCrisis,
Radio Uno Plus,"Spanish and English pop, rock and dance radio station. Social Media: 12K.","Dance, Pop, Rock",,ARGENTINA,http://radiounoplus.blogspot.com,,,,,https://twitter.com/radiounoplus,,,,,
Radio Cantilo,"Rock radio station with a focus on music news, interviews and more. Social Media: 48K.",,,ARGENTINA,https://www.radiocantilo.com,,,,,https://twitter.com/RadioCantiloOk,https://www.facebook.com/RadioCantilo/,,https://www.instagram.com/radiocantilo/,https://vimeo.com/sybila,
Infobae,"An Argentinian news website and the country’s largest digital newspaper, with local editions across LATAM.  Social Media: 5M",,,ARGENTINA,https://www.infobae.com/america/,,,,,https://twitter.com/Infobae/,https://www.facebook.com/Infobae/,,https://www.instagram.com/Infobae/,https://www.youtube.com/c/infobae,
VORTERIX 104.5 dB,Online Radio Station based in Argentina. They have a notable radio host which attracts a consistent and large listening base. Social Media: 797K,,"2,108",ARGENTINA,https://vorterixmardelplata.com.ar,,,,,,https://www.facebook.com/Vorterix-Mar-del-Plata-187230728141484,,https://www.instagram.com/vorterix.mdq/,,
MDZ,Online newspaper located from the province of Mendoza. Social Media: 924K,,,ARGENTINA,https://www.mdzol.com,,,,,https://twitter.com/mdzol,https://www.facebook.com/DiarioMDZOnline/,,https://www.instagram.com/mdzol/,https://www.youtube.com/user/mdzolOK/,
CLARIN,"Top newspaper in the country, distribution 700K a week. Social Media: 7M",,,ARGENTINA,https://www.clarin.com,,,,,https://twitter.com/clarincom,https://www.facebook.com/clarincom,,https://www.instagram.com/clarincom/,https://www.youtube.com/user/clarinwebtv,
"Rock & Pop ",A radio station that publishes national and international news. Focused on Rock and indie music. Social media: 990.8K,"Pop, Rock",,ARGENTINA,https://fmrockandpop.com,,,,,https://www.twitter.com/fmrockandpop,https://www.facebook.com/FmRockandPop/,,https://www.instagram.com/fmrockandpop,https://www.youtube.com/channel/UCAlQ5f7mhnkfM6jjXeJDw7g,
Radio Aspen,"Radio station focusing on pop and rock, news and reviews. Social Media: 194K.",,,ARGENTINA,https://fmaspen.com,,,,,https://twitter.com/fmaspen,https://facebook.com/fmaspen102.3,,https://www.instagram.com/fmaspen,https://www.youtube.com/channel/UCZmaKuxK0meHza661IEiYgQ,
"PelaGatos ","A Website and Online Radio with 40K montly listeners, and it has a TV show once a week . Social Media : 360 K . ",Reggae,,ARGENTINA,https://www.pelagatos.com.ar,,,,,https://twitter.com/PelaGatosReggae,https://www.facebook.com/PelaGatosOk,,https://www.instagram.com/pelagatosreggae/,,
MBU Magazine,Online magazine focused on international music news. Social Media: 3.9K,,,ARGENTINA,https://infomusicbetweenus.wixsite.com/newsite,,,,,https://twitter.com/musicbetweenus1,https://www.facebook.com/MusicBetweenUsMagazine,,https://instagram.com/musicbetweenus,https://www.youtube.com/channel/UCIe-ztXmdXFurK3WSXBQDDQ,
